patientId,siteId,age,gender,species,enrollmentDate,status,treatment,WBC,RBC,Hemoglobin,Hematocrit,Platelets,Glucose,BUN,Creatinine,ALT,AST,XRayScore,XRayFindings,medication,medicationName,dosage,frequency,administered,amount,cost,payment,balance,paymentStatus
VET001,CLINIC-001,5,M,Dog,2024-01-15,Active,Control,8.5,6.2,14.5,42.0,250000,95,18,1.2,45,38,2,Normal,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,150.00,150.00,150.00,0.00,Paid
VET002,CLINIC-001,3,F,Cat,2024-01-18,Active,Treatment A,7.8,5.8,12.0,38.0,280000,88,16,1.0,42,35,1,Minor inflammation,Metronidazole,Metronidazole 50mg,50mg,Once daily,yes,85.00,85.00,85.00,0.00,Paid
VET003,CLINIC-002,8,M,Dog,2024-01-20,Completed,Control,9.2,6.5,15.2,45.0,300000,102,20,1.4,48,40,3,Clear,None,None,0mg,None,no,200.00,200.00,200.00,0.00,Paid
VET004,CLINIC-002,2,F,Cat,2024-01-22,Active,Treatment A,6.5,5.5,11.5,35.0,220000,82,14,0.9,38,32,2,Normal,Clindamycin,Clindamycin 25mg,25mg,Twice daily,yes,120.00,120.00,100.00,20.00,Pending
VET005,CLINIC-001,6,M,Dog,2024-01-25,Active,Treatment B,10.5,7.0,16.0,48.0,320000,110,22,1.5,52,45,1,Minor inflammation,Enrofloxacin,Enrofloxacin 50mg,50mg,Once daily,yes,175.00,175.00,0.00,175.00,Unpaid
VET006,CLINIC-003,4,F,Cat,2024-02-01,Active,Control,7.2,5.6,12.5,36.0,240000,90,17,1.1,40,36,2,Normal,Amoxicillin,Amoxicillin 125mg,125mg,Twice daily,yes,95.00,95.00,95.00,0.00,Paid
VET007,CLINIC-002,7,M,Dog,2024-02-05,Completed,Treatment A,8.8,6.3,14.8,43.0,270000,98,19,1.3,46,39,3,Clear,None,None,0mg,None,no,250.00,250.00,250.00,0.00,Paid
VET008,CLINIC-003,3,F,Cat,2024-02-08,Active,Control,6.8,5.4,11.0,33.0,210000,80,15,0.8,35,30,2,Normal,Metronidazole,Metronidazole 25mg,25mg,Once daily,yes,75.00,75.00,50.00,25.00,Pending
VET009,CLINIC-001,9,M,Dog,2024-02-10,Active,Treatment B,11.2,7.2,17.0,50.0,350000,115,24,1.6,55,48,1,Minor inflammation,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,yes,200.00,200.00,150.00,50.00,Pending
VET010,CLINIC-003,5,F,Cat,2024-02-12,Completed,Treatment A,7.5,5.7,12.8,37.0,260000,92,18,1.2,43,37,3,Clear,Clindamycin,Clindamycin 50mg,50mg,Twice daily,yes,130.00,130.00,130.00,0.00,Paid
VET011,CLINIC-002,4,M,Dog,2024-02-15,Active,Control,8.0,6.0,14.0,41.0,250000,96,19,1.3,44,38,2,Normal,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,155.00,155.00,155.00,0.00,Paid
VET012,CLINIC-001,6,F,Cat,2024-02-18,Active,Treatment A,7.0,5.5,11.8,34.0,230000,85,16,1.0,39,34,2,Normal,Metronidazole,Metronidazole 50mg,50mg,Once daily,yes,90.00,90.00,90.00,0.00,Paid
VET013,CLINIC-003,10,M,Dog,2024-02-20,Completed,Control,9.5,6.8,15.5,46.0,310000,105,21,1.4,50,42,3,Clear,None,None,0mg,None,no,220.00,220.00,220.00,0.00,Paid
VET014,CLINIC-002,2,F,Cat,2024-02-22,Active,Treatment B,6.2,5.2,10.8,32.0,200000,78,13,0.7,32,28,1,Minor inflammation,Clindamycin,Clindamycin 25mg,25mg,Twice daily,yes,110.00,110.00,0.00,110.00,Unpaid
VET015,CLINIC-001,7,M,Dog,2024-02-25,Active,Control,9.0,6.4,14.5,42.0,280000,100,20,1.4,47,40,2,Normal,Enrofloxacin,Enrofloxacin 50mg,50mg,Once daily,yes,165.00,165.00,165.00,0.00,Paid
VET016,CLINIC-004,5,F,Cat,2024-03-01,Active,Treatment A,7.8,5.9,12.2,36.0,245000,89,17,1.1,41,35,2,Normal,Amoxicillin,Amoxicillin 125mg,125mg,Twice daily,yes,100.00,100.00,100.00,0.00,Paid
VET017,CLINIC-002,8,M,Dog,2024-03-05,Completed,Control,10.0,6.9,16.2,47.0,330000,108,23,1.5,53,46,3,Clear,None,None,0mg,None,no,240.00,240.00,240.00,0.00,Paid
VET018,CLINIC-001,3,F,Cat,2024-03-08,Active,Treatment B,6.5,5.3,11.2,33.5,215000,81,15,0.9,36,31,1,Minor inflammation,Metronidazole,Metronidazole 25mg,25mg,Once daily,yes,80.00,80.00,60.00,20.00,Pending
VET019,CLINIC-003,6,M,Dog,2024-03-10,Active,Control,8.2,6.1,14.2,41.5,255000,97,19,1.3,45,39,2,Normal,Clindamycin,Clindamycin 50mg,50mg,Twice daily,yes,140.00,140.00,140.00,0.00,Paid
VET020,CLINIC-003,4,F,Cat,2024-03-12,Completed,Treatment A,7.3,5.6,12.0,35.5,235000,87,16,1.0,38,33,3,Clear,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,145.00,145.00,145.00,0.00,Paid
VET021,CLINIC-002,9,M,Dog,2024-03-15,Active,Treatment A,10.8,7.1,17.2,50.5,340000,112,25,1.7,57,50,1,Minor inflammation,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,yes,190.00,190.00,190.00,0.00,Paid
VET022,CLINIC-001,2,F,Cat,2024-03-18,Active,Control,6.8,5.4,11.5,34.0,225000,83,15,0.9,37,32,2,Normal,Metronidazole,Metronidazole 50mg,50mg,Once daily,yes,88.00,88.00,88.00,0.00,Paid
VET023,CLINIC-003,11,M,Dog,2024-03-20,Completed,Treatment B,11.5,7.3,17.5,51.0,360000,118,26,1.8,60,52,3,Clear,None,None,0mg,None,no,260.00,260.00,200.00,60.00,Pending
VET024,CLINIC-002,5,F,Cat,2024-03-22,Active,Control,7.6,5.8,12.5,37.0,250000,91,18,1.2,42,36,2,Normal,Clindamycin,Clindamycin 25mg,25mg,Twice daily,yes,115.00,115.00,115.00,0.00,Paid
VET025,CLINIC-001,7,M,Dog,2024-03-25,Active,Treatment A,9.5,6.6,15.0,44.0,290000,103,21,1.4,49,42,1,Minor inflammation,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,160.00,160.00,120.00,40.00,Pending
VET026,CLINIC-004,3,F,Cat,2024-04-01,Active,Treatment B,6.9,5.5,11.8,35.0,240000,86,16,1.0,39,34,2,Normal,Metronidazole,Metronidazole 25mg,25mg,Once daily,yes,82.00,82.00,82.00,0.00,Paid
VET027,CLINIC-002,6,M,Dog,2024-04-05,Completed,Control,8.5,6.2,14.8,43.0,275000,99,20,1.4,46,40,3,Clear,Enrofloxacin,Enrofloxacin 50mg,50mg,Once daily,yes,170.00,170.00,170.00,0.00,Paid
VET028,CLINIC-001,4,F,Cat,2024-04-08,Active,Treatment A,7.1,5.6,12.2,36.5,245000,88,17,1.1,40,35,2,Normal,Clindamycin,Clindamycin 50mg,50mg,Twice daily,yes,125.00,125.00,125.00,0.00,Paid
VET029,CLINIC-003,8,M,Dog,2024-04-10,Active,Control,9.8,6.7,15.8,46.5,305000,106,22,1.5,51,44,1,Minor inflammation,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,158.00,158.00,0.00,158.00,Unpaid
VET030,CLINIC-003,2,F,Cat,2024-04-12,Completed,Treatment B,6.4,5.3,11.0,33.0,220000,79,14,0.8,34,29,3,Clear,Metronidazole,Metronidazole 50mg,50mg,Once daily,yes,92.00,92.00,92.00,0.00,Paid
VET031,CLINIC-002,10,M,Dog,2024-04-15,Active,Treatment A,10.2,7.0,16.5,48.5,325000,110,24,1.6,55,48,2,Normal,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,yes,185.00,185.00,185.00,0.00,Paid
