patientId,siteId,age,gender,species,date,status,treatment,WBC,RBC,Hemoglobin,Hematocrit,Platelets,Glucose,BUN,Creatinine,ALT,AST,medication,medicationName,dosage,frequency,administered,amount,cost,payment,balance,paymentStatus,service
VET001,CLINIC-001,5,M,Dog,2024-01-15,Active,Control,8.5,6.2,14.5,42.0,250000,95,18,1.2,45,35,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,true,150.00,120.00,150.00,0.00,Paid,Consultation
VET001,CLINIC-001,5,M,Dog,2024-02-15,Active,Control,9.2,6.4,15.0,43.5,265000,98,19,1.3,48,38,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,true,0.00,0.00,0.00,0.00,Paid,Follow-up
VET001,CLINIC-001,5,M,Dog,2024-03-15,Active,Control,8.8,6.3,14.8,43.0,260000,96,18,1.25,46,36,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,true,75.00,60.00,75.00,0.00,Paid,Check-up
VET002,CLINIC-001,3,F,Cat,2024-01-18,Active,Treatment A,7.8,5.8,12.0,38.0,280000,88,15,1.0,42,32,Metronidazole,Metronidazole 100mg,100mg,Once daily,true,200.00,160.00,200.00,0.00,Paid,Surgery
VET002,CLINIC-001,3,F,Cat,2024-02-18,Active,Treatment A,7.5,5.7,11.8,37.5,275000,90,16,1.1,44,34,Metronidazole,Metronidazole 100mg,100mg,Once daily,true,50.00,40.00,30.00,20.00,Partial,Follow-up
VET002,CLINIC-001,3,F,Cat,2024-03-18,Active,Treatment A,7.2,5.6,11.5,36.0,270000,89,15,1.05,43,33,Metronidazole,Metronidazole 100mg,100mg,Once daily,false,50.00,40.00,0.00,50.00,Unpaid,Check-up
VET003,CLINIC-002,8,M,Dog,2024-01-20,Completed,Control,9.2,6.5,15.2,45.0,300000,102,20,1.4,50,40,None,None,0mg,None,true,300.00,240.00,300.00,0.00,Paid,Full Exam
VET003,CLINIC-002,8,M,Dog,2024-02-20,Completed,Control,9.5,6.6,15.5,45.5,305000,105,21,1.45,52,42,None,None,0mg,None,true,100.00,80.00,100.00,0.00,Paid,Follow-up
VET004,CLINIC-002,2,F,Cat,2024-01-22,Active,Treatment A,6.5,5.5,11.5,35.0,220000,85,14,0.9,38,28,Clindamycin,Clindamycin 75mg,75mg,Twice daily,true,180.00,144.00,180.00,0.00,Paid,Dental
VET004,CLINIC-002,2,F,Cat,2024-02-22,Active,Treatment A,6.8,5.6,11.8,35.5,225000,87,15,0.95,40,30,Clindamycin,Clindamycin 75mg,75mg,Twice daily,true,60.00,48.00,60.00,0.00,Paid,Follow-up
VET004,CLINIC-002,2,F,Cat,2024-03-22,Active,Treatment A,7.0,5.7,12.0,36.0,230000,88,15,0.92,39,29,Clindamycin,Clindamycin 75mg,75mg,Twice daily,true,60.00,48.00,40.00,20.00,Partial,Check-up
VET005,CLINIC-001,6,M,Dog,2024-01-25,Active,Treatment B,10.5,7.0,16.0,48.0,320000,110,22,1.5,55,45,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,true,250.00,200.00,200.00,50.00,Partial,Emergency
VET005,CLINIC-001,6,M,Dog,2024-02-25,Active,Treatment B,10.2,6.9,15.8,47.5,315000,108,21,1.48,53,43,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,true,100.00,80.00,50.00,50.00,Partial,Follow-up
VET005,CLINIC-001,6,M,Dog,2024-03-25,Active,Treatment B,9.8,6.7,15.5,46.5,310000,106,20,1.45,51,41,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,false,100.00,80.00,0.00,100.00,Unpaid,Check-up
VET006,CLINIC-003,4,F,Cat,2024-02-01,Active,Control,7.2,5.6,12.5,36.0,240000,92,16,1.1,41,31,None,None,0mg,None,true,120.00,96.00,120.00,0.00,Paid,Vaccination
